연번,지자체명,세부사업명,예산(백만원)
239,경남,벤처기업인증획득지원사업,39.0
240,경남,산학협력중소기업포장디자인개발지원,160.0
241,경남,강소연구개발특구의료기기전문제조기업육성,150.0
242,경남,승강기핵심부품연구개발지원사업,200.0
243,경남,미래자동차부품실증및사업화지원,300.0
244,경남,미래차업종전환촉진기업혁신지원,100.0
245,경남,기업주도일자리창출패키지지원사업,160.0
246,경남,ESG혁신기업청년인재양성사업,87.71
247,경남,청년인재-주력산업동반성장일자리사업,149.78
248,경남,소상공인디지털인프라지원,90.0
249,경남,노란우산공제희망장려금지급,500.0
250,경남,소상공인온라인쇼핑몰기획전지원,50.0
251,경남,원전기업수요맞춤형패키지지원사업,600.0
252,경남,소규모영세사업장방지시설지원,385.92
253,경남,경남모범장수기업인증지원,70.0
254,경남,점프업기업육성지원사업,450.0
255,경남,비제조산업마케팅활동지원,50.0
256,경남,중소기업재해예방안전디자인인프라구축,154.0
257,경남,경남IT·SW스타기업육성사업,260.0
258,경남,경남소재부품성장잠재기업육성사업,100.0
259,경남,우주항공용세라믹섬유융복합소재활용사업화지원,100.0
260,경남,약용작물산업화지원센터활용제품고급화지원사업,100.0
261,경남,항노화강소기업패키지지원사업,120.0
262,경남,경남형팁스,210.0
263,경남,이노비즈인증획득지원사업,50.0
264,경남,사회적기업판로개척지원사업,70.0
265,경남,미래차선도기업육성기술개발지원사업,500.0
266,경남,경남문화콘텐츠산업기반구축및활성화,170.0
267,경남,문화콘텐츠취‧창업지원,400.0
268,경남,수산물브랜드육성지원,11.425
269,경남,경남로봇랜드컨벤션센터마케팅지원,25.0
270,경남,대학특화청년창업활성화지원,350.0
271,경남,수도권창업거점운영,190.0
272,경남,중소기업제조물책임보험지원,50.0
273,경남,실크산업활성화지원,480.0
274,경남,동부권창업거점운영,420.0
275,경남,중장년기술창업센터운영지원(국가직접지원),60.0
276,경남,경상남도창업보육센터운영,64.0
277,경남,글로컬농가(업체)지원(보조),2675.0
278,경남,"전자약,디지털치료기기기술실용화기반구축사업(국가직접지원)",300.0
279,경남,퍼스널랩기반디지털헬스케어제품개발지원플랫폼구축사업(국가직접지원),200.0
280,경남,조선업생산공정혁신기술지원,400.0
281,경남,경남방산강소기업육성,500.0
282,경남,경남방산수출지원단운영,473.5
283,경남,신·증설기업보조금지원,3852.976
284,경남,현장실습지원사업,1000.0
285,경남,소상공인사회보험망지원사업,275.0
286,경남,선도사회적경제기업육성,70.0
287,경남,마을기업육성(직접)(전환),586.0
